Package Name,Directory Name,Prefixes,File Numbers,File Names,Globals,VDL ID
ACCOUNTS RECEIVABLE,Accounts Receivable,PRCA,340,AR DEBTOR,,29
,,PRY,341,AR EVENT,,
,,RC,341.1,AR EVENT TYPE,,
,,,342,AR SITE PARAMETER,,
,,,342.1,AR GROUP,,
,,,342.2,AR GROUP TYPE,,
,,,342.3,AR USER CUSTOMIZE,,
,,,343,AR FORM LETTER,,
,,,344,AR BATCH PAYMENT,,
,,,344.1,AR DEPOSIT,,
,,,344.2,AR PAYMENT TRANSACTIONS,,
,,,344.3,EDI LOCKBOX DEPOSIT,,
,,,344.31,EDI THIRD PARTY EFT DETAIL,,
,,,344.4,ELECTRONIC REMITTANCE ADVICE,,
,,,344.49,EDI LOCKBOX EOB WORKLIST,,
,,,344.5,AR EDI LOCKBOX MESSAGES,,
,,,347,AR FMS DOCUMENT,,
,,,347.1,AR FMS DOCUMENT TYPE,,
,,,347.3,REVENUE SOURCE CODE,,
,,,347.4,AR/FMS DOCUMENTS,,
,,,348,AR NATIONAL DATA BASE CRITERIA,,
,,,348.1,BAD DEBT ALLOWANCE,,
,,,348.2,TOP REFUND/REVERSAL CODES,,
,,,348.4,AR DATA QUEUE,,
,,,349,AR TRANSMISSION RECORDS,,
,,,349.1,AR TRANSMISSION TYPE,,
,,,349.2,AR CCPC STATEMENTS,,
,,,349.3,AR RC TRANSMISSIONS,,
,,,349.4,AR RC TRANSACTION CODES,,
,,,349.7,CCPC STATEMENT ERRORS,,
,,,349.8,CCPC ERROR TYPE,,
,,,349.9,AR TRANSMISSION SEGMENTS,,
,,,430,ACCOUNTS RECEIVABLE,,
,,,430.2,ACCOUNTS RECEIVABLE CATEGORY,,
,,,430.3,ACCOUNTS RECEIVABLE TRANS.TYPE,,
,,,430.6,AR DEBT LIST,,
,,,430.8,AR ARCHIVE,,
,,,433,AR TRANSACTION,,
,,,436.1,AR MEDICARE DEDUCTIBLE ALERTS PART A,,
ADVERSE REACTION TRACKING,Adverse Reaction Tracking,GMRA,120.8,PATIENT ALLERGIES,,57
,,GMA,120.82,GMR ALLERGIES,,
,,,120.83,SIGN/SYMPTOMS,,
,,,120.84,GMR ALLERGY SITE PARAMETERS,,
,,,120.85,ADVERSE REACTION REPORTING,,
,,,120.86,ADVERSE REACTION ASSESSMENT,,
,,,120.87,GMRA DOCUMENT,,
ASISTS,Asists,OOPS,2260,ASISTS ACCIDENT REPORTING,,56
,,,2261,ASISTS CHARACTERIZATION OF INJURY,,
,,,2261.1,ASISTS DOL ANATOMICAL LOCATION CODES,,
,,,2261.2,ASISTS CRITICAL TRACKING ISSUES,,
