#,INSTALLED,VERIFY_DT,STATUS,LABELED_AS,SEQ#,CATEGORY,PRODUCT_NAME,"PREREQUISITES OR SPECIAL NOTES
small s denotes Redacted",DATE REVIEWED FOR REDACTION,REDACTED INFO IN FOIA RELEASE
1,TRUE,2015-01-05,VERIFIED,IB*2*533,486,ROUTINE,INTEGRATED BILLING,,,
2,TRUE,2015-01-05,VERIFIED,LEX*2*98,89,ROUTINE,CLINICAL LEXICON,LEX_2_98.GBLs,2015-01-05,YES
3,TRUE,2015-01-05,VERIFIED,ICPT*6*70,68,INFORMATIONAL,CPT CODES,LEX_2_98.GBLs,2015-01-05,YES
4,TRUE,2015-01-05,VERIFIED,IB*2*532,487,ROUTINE,INTEGRATED BILLING,,,
5,TRUE,2015-01-05,VERIFIED,PRS*4*140,131,ROUTINE,PAID,,,
6,TRUE,2015-01-07,VERIFIED,EC*2*125,119,ROUTINE,EVENT CAPTURE,,,
7,TRUE,2015-01-07,VERIFIED,DG*5.3*859,788,ROUTINE,REGISTRATION,,,
8,TRUE,2015-01-07,VERIFIED,DG*5.3*872,789,ROUTINE,REGISTRATION,,,
9,TRUE,2015-01-08,VERIFIED,LR*5.2*444,356,ROUTINE,LABORATORY,,,
10,TRUE,2015-01-08,VERIFIED,LR*5.2*439,357,ROUTINE,LABORATORY,,,
11,TRUE,2015-01-08,VERIFIED,NHIN*1*4,3,INFORMATIONAL,NAT HEALTH INFO NETWORK,,,
12,TRUE,2015-01-12,VERIFIED,PREC*5*1,1,OTHER,PHARMACY ENTERPRISE CUSTOMIZATION SYSTEM,,,
13,TRUE,2015-01-12,VERIFIED,PSN*4*423,406,ROUTINE,NATIONAL DRUG FILE,NDF4P432.KIDs,2015-01-12,YES
14,TRUE,2015-01-13,VERIFIED,DVBA*2.7*187,165,ENHANCEMENT,AMIE,DVBA_217_P_187_12.ZIPs,2015-01-13,YES
15,TRUE,2015-01-14,VERIFIED,IB*2*537,488,ROUTINE,INTEGRATED BILLING,,,
16,TRUE,2015-01-14,VERIFIED,XU*8*656,515,INFORMATIONAL,VISTA KERNAL,,,
17,TRUE,2015-01-14,VERIFIED,ICD*18*77,71,ROUTINE,DRG GROUPER,,,
18,TRUE,2015-01-15,VERIFIED,PXRM*2*38,34,ROUTINE,CLINICAL REMINDERS,PXRM_2_0_38.KIDs,2015-01-15,YES
19,TRUE,2015-01-21,VERIFIED,PSS*1*177,164,ROUTINE,PHARMACY DATA MANAGEMENT,,,
20,TRUE,2015-01-21,VERIFIED,PSN*4*434,407,INFORMATIONAL,NATIONAL DRUG FILE,,,
21,TRUE,2015-01-21,VERIFIED,PSO*7*428,372,INFORMATIONAL,OUTPATIENT PHARMACY,,,
22,TRUE,2015-01-22,VERIFIED,VBEC*1*78,77,INFORMATIONAL,VBECS,,,
26,TRUE,2015-01-26,VERIFIED,DG*5.3*895,790,ROUTINE,REGISTRATION,,,
29,TRUE,2015-01-28,VERIFIED,XT*7.3*137,110,ROUTINE,KERNEL TOOLKIT,,,
30,TRUE,2015-01-28,VERIFIED,OR*3*398,350,ROUTINE,ORDER ENTRY/RESULTS REPORTING,OR_398_1BD_66.KID,2015-01-28,NO
31,TRUE,2015-01-28,VERIFIED,IBD*3*66,58,ROUTINE,AUTOMATED INFORMATION COLLECTION SYSTEM,OR_398_1BD_66.KID,2015-01-28,NO
41,TRUE,2015-02-09,VERIFIED,DG*5.3*913,791,INFORMATIONAL,REGISTRATION,,,,
56,TRUE,2015-02-27,VERIFIED,GMPL*2*46,40,ROUTINE,PROBLEM LIST,,,,
57,TRUE,2015-03-02,VERIFIED,EAS*1*118,100,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,
59,TRUE,2015-03-09,VERIFIED,PSJ*5*304,267,ROUTINE,INPATIENT MEDICATIONS,,,,
60,TRUE,2015-03-10,VERIFIED,DVBA*2.7*191,166,ROUTINE,AMIE,,,,
61,TRUE,2015-03-10,VERIFIED,SD*5.3*620,518,ROUTINE,SCHEDULING,,,,
63,TRUE,2015-03-12,VERIFIED,PXRM*2*57,37,OTHER,CLINICAL REMINDERS,PXRM_2_0_57.KIDs,2015-03-12,YES,
64,TRUE,2015-03-13,VERIFIED,TBI*2*8,5,INFORMATIONAL,TRAUMATIC BRAIN INJURY,,,
66,TRUE,2015-03-16,VERIFIED,QAO*3*9,8,ROUTINE,OCCURRENCE SCREENING,,,
67,TRUE,2015-03-16,VERIFIED,LR*5.2*448,360,ROUTINE,LABORATORY,,,
68,TRUE,2015-03-16,VERIFIED,SD*5.3*623,519,ROUTINE,SCHEDULING,,,
70,TRUE,2015-03-17,VERIFIED,WEBV*1*32,27,INFORMATIONAL,VISTA WEB,,,
71,TRUE,2015-03-17,VERIFIED,OR*3*312,351,ROUTINE,ORDER ENTRY/RESULTS REPORTING,ALSO IN CPRS 30 FOLDER,,
72,TRUE,2015-03-19,VERIFIED,VBEC*1*80,79,INFORMATIONAL,VBECS,,,
73,TRUE,2015-03-19,VERIFIED,PSO*7*438,373,ROUTINE,OUTPATIENT PHARMACY,,,
74,TRUE,2015-03-20,VERIFIED,MHV*1*18,12,INFORMATIONAL,MYHEALTHEVET,,,
75,TRUE,2015-03-20,VERIFIED,WV*1*25,22,ROUTINE,WOMENS HEALTH,,,
78,TRUE,2015-03-23,VERIFIED,LR*5.2*445,361,ROUTINE,LABORATORY,,,
79,TRUE,2015-03-23,VERIFIED,EAS*1*129,101,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,
80,TRUE,2015-03-26,VERIFIED,OHRS*1.4*12,12,INFORMATIONAL,CISS-OHRS,,,,
81,TRUE,2015-03-27,VERIFIED,IB*2*542,494,ENHANCEMENT,INTEGRATED BILLING,,,,
82,TRUE,2015-03-30,VERIFIED,LA*5.2*84,62,ROUTINE,LAB INSTRUMENTS,,,,
83,TRUE,2015-03-31,VERIFIED,MAG*3*142,110,ROUTINE,IMAGING,MAG3_0P142.KID,2015-03-31,NO,
84,TRUE,2015-03-31,VERIFIED,ECX*3*152,138,ROUTINE,DSS SUPPORT SYSTEM,,,,
85,TRUE,2015-04-01,VERIFIED,LEX*2*99,91,ROUTINE,CLINICAL LEXICON,LEX_2_99.GBLs,2015-04-01,YES,
