#,INSTALLED,VERIFY_DT,STATUS,LABELED_AS,SEQ#,CATEGORY,PRODUCT_NAME,"PREREQUISITES OR SPECIAL NOTES
small s denotes Redacted",DATE REVIEWED FOR REDACTION,REDACTED INFO IN FOIA RELEASE
1,TRUE,2017-01-03,VERIFIED,WEBA*2.6*1,1,INFORMATIONAL,VETERANS AUTHORIZATION AND PREFERENCES ,,,
2,TRUE,2017-01-03,VERIFIED,SR*3*188,178,ROUTINE,SURGERY,,,
3,TRUE,2017-01-03,VERIFIED,PSJ*5*329,286,ROUTINE,INPATIENT PHARMACY,,,
4,TRUE,2017-01-09,VERIFIED,PSO*7*475,390,ROUTINE,OUTPATIENT PHARMACY,,,
5,TRUE,2017-01-09,VERIFIED,PSN*4*507,491,ROUTINE,NATIONAL DRUG FILE,NDF4P507.KIDs,2017-01-13,YES
6,TRUE,2017-01-10,VERIFIED,MAG*3*174,125,OTHER,VISTA IMAGING,MAG3_0P174.KIDs,2017-01-13,YES
7,TRUE,2017-01-10,VERIFIED,IB*2*578,535,ROUTINE,INTEGRATED BILLING,,,
8,TRUE,2017-01-11,VERIFIED,DI*22.2*4,3,ROUTINE,VA FILEMAN,,,
9,TRUE,2017-01-12,VERIFIED,LR*5.2*463,378,DATA DICTIONARY,LABORATORY,,,
10,TRUE,2017-01-12,VERIFIED,LA*5.2*90,68,ENHANCEMENT,LAB INSTRUMENTS,LAB_MICRO_INTERFERFACE_RELEASE_1_0.KIDs,2017-01-13,YES
11,TRUE,2017-01-12,VERIFIED,LR*5.2*474,379,ROUTINE,LABORATORY,LAB_MICRO_INTERFERFACE_RELEASE_1_0.KID,2017-01-13,YES
12,TRUE,2017-01-12,VERIFIED,EAS*1*136,116,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,
13,TRUE,2017-01-12,VERIFIED,HL*1.5*166,131,ROUTINE,HEALTH LEAVE 7,,,
14,TRUE,2017-01-17,VERIFIED,PSS*1*207,177,ROUTINE,PHARMACY DATA MANAGEMENT,,,
15,TRUE,2017-01-18,VERIFIED,ROR*1.5*29,29,ROUTINE,CLINICAL REGISTRIES,,,
16,TRUE,2017-01-18,VERIFIED,FH*5.5*42,41,ROUTINE,NUTRITION & FOOD SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TRUE,2017-01-18,VERIFIED,WEBI*9*1,1,INFORMATIONAL,INTEGRATED HOME TELEHEALTH APPLICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,TRUE,2017-01-18,VERIFIED,DG*5.2*921,816,ROUTINE,REGISTRATION,HMP_MULTIBUILD_2-0_PO2.KID,2017-01-18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,TRUE,2017-01-18,VERIFIED,MC*2.3*47,43,ROUTINE,MEDICINE,HMP_MULTIBUILD_2-0_PO2.KID,2017-01-18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,TRUE,2017-01-18,VERIFIED,GMRV*5*32,23,DATA DICTIONARY,VITALS,HMP_MULTIBUILD_2-0_PO2.KID,2017-01-18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TRUE,2017-01-18,VERIFIED,PSB*3*95,78,OTHER,BAR CODE MED ADMINISTRATION,HMP_MULTIBUILD_2-0_PO2.KID,2017-01-18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TRUE,2017-01-18,VERIFIED,PSS*1*197,178,ROUTINE,PHARMACY DATA MANAGEMENT,HMP_MULTIBUILD_2-0_PO2.KID,2017-01-18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,TRUE,2017-01-18,VERIFIED,OR*3*421,372,ROUTINE,ORDER ENTRY RESULTS REPORTING,HMP_MULTIBUILD_2-0_PO2.KID,2017-01-18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TRUE,2017-01-18,VERIFIED,HMP*2*2,6,ROUTINE,HEALTH MANAGEMENT PLATFORM,HMP_MULTIBUILD_2-0_PO2.KID,2017-01-18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
