#,INSTALLED,VERIFY_DT,STATUS,LABELED_AS,SEQ#,CATEGORY,PRODUCT_NAME,"PREREQUISITES OR SPECIAL NOTES
small s denotes Redacted",DATE REVIEWED FOR REDACTION,REDACTED INFO IN FOIA RELEASE
1,TRUE,2019-01-02,VERIFIED,PSJ*5*366,323,ROUTINE,INPATIENT MEDICATIONS,,,
2,TRUE,2019-01-03,VERIFIED,MD*1*65,48,ROUTINE,CLINICAL PROCEDURES,,,
3,TRUE,2019-01-03,VERIFIED,RA*5*124,134,INPUT,RADIOLOGY,,,
4,TRUE,2019-01-03,VERIFIED,ECX*3*173,155,ROUTINE,DSS,,,
5,TRUE,2019-01-07,VERIFIED,IB*2*628,577,ENHANCEMENT,INTEGRATED BILLING,IBRC1810_scrubbed.zip,2019-01-14,YES
6,TRUE,2019-01-08,VERIFIED,IB*2*621,578,ROUTINE,INTEGRATED BILLING,,,
7,TRUE,2019-01-08,VERIFIED,DG*5.3*971,852,ROUTINE,REGISTRATION,,,
8,TRUE,2019-01-08,VERIFIED,PSO*7*550,447,ROUTINE,OUTPATIENT PHARMACY,,,
9,TRUE,2019-01-09,VERIFIED,OOPS*2*32,31,ROUTINE,ASSISTS,DECOMMISSIONED 1/12/19,,
10,TRUE,2019-01-09,VERIFIED,PRCA*4.5*344,300,ROUTINE,ACCOUNTS RECEIVABLE,,,
11,TRUE,2019-01-09,VERIFIED,PRCA*4.5*342,301,ROUTINE,ACCOUNTS RECEIVABLE,,,
12,TRUE,2019-01-09,VERIFIED,HDS*1*22,19,INFORMATION,HEALTH DATA REPOSITORY,,,
13,TRUE,2019-01-10,VERIFIED,PSJ*5*379,324,ROUTINE,INPATIENT MEDICATIONS,,,
14,TRUE,2019-01-10,VERIFIED,MPIF*1*70,66,ROUTINE,MASTER PATIENT INDEX,,,
15,TRUE,2019-01-10,VERIFIED,XU*8*705,548,ROUTINE,KERNEL,,,
16,TRUE,2019-01-14,VERIFIED,IVM*2*174,144,ROUTINE,INCOME VERIFICATION MATCH,IVM_20_P174.KIDs,2019-01-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TRUE,2019-01-14,VERIFIED,EAS*1*172,144,ROUTINE,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,TRUE,2019-01-14,VERIFIED,IB*2*632,579,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,TRUE,2019-01-15,VERIFIED,BPS*1*24,22,ENHANCEMENT,HIPPA,BPS_1_24_PSO_IB_PSS.KIDs,2019-01-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,TRUE,2019-01-15,VERIFIED,IB*2*617,580,ROUTINE,INTEGRATED BILLING,BPS_1_24_PSO_IB_PSS.KIDs,2019-01-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TRUE,2019-01-15,VERIFIED,PSO*7*512,448,ENHANCEMENT,OUTPATIENT PHARMACY,BPS_1_24_PSO_IB_PSS.KIDs,2019-01-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TRUE,2019-01-15,VERIFIED,PSS*1*214,200,ROUTINE,PHARMACY DATA MANAGEMENT,BPS_1_24_PSO_IB_PSS.KIDs,2019-01-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,TRUE,2019-01-15,VERIFIED,WEBI*12.5*1,1,INFORMATIONAL,IHTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TRUE,2019-01-16,VERIFIED,MAG*3*224,167,ROUTINE,VISTA IMAGING,NO KIDS BUILD - INFO PATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
