Version 3.21 Update - Outpatient Facility,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,Service Category Code,Multiple Surgery Indicator,Primary/Pass-Through Indicator,Unit Charge,Base Charge,Unit Type,Inpatient Indicator,Skilled Nursing Facility Indicator,Start Date,End Date,
10021,CPT,FINE NEEDLE ASPIRATION W/O IMAGING GUIDANCE,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
10022,CPT,FINE NEEDLE ASPIRATION WITH IMAGING GUIDANCE,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
10030,CPT,IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
10035,CPT,PERQ SFT TISS LOC DEVICE PLMT 1ST LES W/GDNCE,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
10036,CPT,PERQ SFT TISS LOC DEVICE PLMT ADD LES W/GDNCE,,30,,,"$2,049.71",$0.00,1,0,1,20170101,,
10040,CPT,ACNE SURGERY,,30,,,$561.11,$0.00,1,0,1,20170101,,
10060,CPT,INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE,,30,,,$561.11,$0.00,1,0,1,20170101,,
10061,CPT,INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
10080,CPT,INCISION & DRAINAGE PILONIDAL CYST SIMPLE,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
10081,CPT,INCISION & DRAINAGE PILONIDAL CYST COMPLICATED,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
10120,CPT,INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
10121,CPT,INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
10140,CPT,I&D HEMATOMA SEROMA/FLUID COLLECTION,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
10160,CPT,PUNCTURE ASPIRATION ABSCESS HEMATOMA BULLA/CYST,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
10180,CPT,INCISION & DRAINAGE COMPLEX PO WOUND INFECTION,,30,,,"$10,509.56",$0.00,1,0,1,20170101,,
11000,CPT,DBRDMT EXTENSV ECZEMA/INFECT SKN UP 10% BDY SURF,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
11001,CPT,DBRDMT EXTNSVE ECZEMA/INFECT SKN EA 10% BDY SURF,,30,,,$369.70,$0.00,1,0,1,20170101,,
11010,CPT,DBRDMT W/RMVL FM FX&/DISLC SKIN&SUBQ TISSUS,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11011,CPT,DBRDMT W/RMVL FM FX&/DISLC SKN SUBQ T/M/F MUSC,,30,,,"$3,166.64",$0.00,1,0,1,20170101,,
11012,CPT,DBRDMT FX&/DISLC SUBQ T/M/F BONE,,30,,,"$10,509.56",$0.00,1,0,1,20170101,,
11042,CPT,DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
11043,CPT,DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<,,30,,,"$2,459.08",$0.00,1,0,1,20170101,,
11044,CPT,DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,,30,,,"$7,360.21",$0.00,1,0,1,20170101,,
11045,CPT,DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM,,30,,,"$1,054.88",$0.00,1,0,1,20170101,,
11046,CPT,DEBRIDEMENT MUSCLE &/FASCIA EA ADDL 20 SQ CM,,30,,,"$1,439.63",$0.00,1,0,1,20170101,,
11047,CPT,DEBRIDEMENT BONE EACH ADDITIONAL 20 SQ CM,,30,,,"$2,446.97",$0.00,1,0,1,20170101,,
11055,CPT,PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1,,30,,,$561.11,$0.00,1,0,1,20170101,,
11056,CPT,PARING/CUTTING BENIGN HYPERKERATOTIC LESION 2-4,,30,,,$561.11,$0.00,1,0,1,20170101,,
11057,CPT,PARING/CUTTING BENIGN HYPERKERATOTIC LESION >4,,30,,,$561.11,$0.00,1,0,1,20170101,,
11100,CPT,BX SKIN SUBCUTANEOUS&/MUCOUS MEMBRANE 1 LESION,,30,,,"$1,566.08",$0.00,1,0,1,20170101,,
11101,CPT,BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESN,,30,,,$294.45,$0.00,1,0,1,20170101,,
11200,CPT,REMOVAL SKN TAGS MLT FIBRQ TAGS ANY AREA UPW/15,,30,,,$561.11,$0.00,1,0,1,20170101,,
11201,CPT,REMOVAL SK TGS MLT FIBRQ TAGS ANY AREA EA 10,,30,,,$132.65,$0.00,1,0,1,20170101,,
11300,CPT,SHAVING SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.5CM/<,,30,,,$561.11,$0.00,1,0,1,20170101,,
