Sta #,VA Facility Location,ZIP 3,PBN,,,,,,,
402,"TOGUSVA MEDICAL CENTER, ME",043,1,,,,,,,
402GA,"CARIBOU, ME",047,2,,,,,,,
402GB,"CALAIS VA CLINIC, ME",046,2,,,,,,,
402GC,"RUMFORD VA CLINIC, ME",042,2,,,,,,,
402GD,"SACO VA CLINIC, ME",040,2,,,,,,,
402GE,"LEWISTON VA CLINIC, ME",042,2,,,,,,,
402GF,"LINCOLN VA CLINIC, ME",044,2,,,,,,,
402HB,"BANGOR, ME",044,2,,,,,,,
402HC,"PORTLAND, ME (MHORC)",041,2,,,,,,,
402HL,"BINGHAM VA MOBILE CLINIC, ME",049,2,,,,,,,
402QA,"FT. KENT VA CLINIC, ME",047,3,,,,,,,
402QB,"HOULTON VA CLINIC, ME",047,2,,,,,,,
405,"WHITE RIVER JUNCTION VAMC, VT",050,1,,,,,,,
405BU,"WHITE RIVER JCT, VT  (SARRTP)",050,1,,,,,,,
405GA,"BENNINGTON VA CLINIC, VT",052,2,,,,,,,
405GC,"BRATTLEBORO VA CLINIC, VT",053,2,,,,,,,
405HA,"BURLINGTON LAKESIDE VA CLINIC, VT (CBOC)",054,3,,,,,,,
405HC,"LITTLETON, NH",035,2,,,,,,,
405HE,"KEENE, NH",034,2,,,,,,,
405HF,"RUTLAND, VT",057,2,,,,,,,
405HG,"WILDER, VT",050,2,,,,,,,
405QA,"ST JOHNSBURY VA CLINIC, VT",058,3,,,,,,,
405QB,"NEWPORT VA CLINIC, VT",058,3,,,,,,,
436,"FORT HARRISON MEDICAL CENTER, MT",596,1,,,,,,,
436A4,"MILES CITY VA MEDICAL CENTER, MT",593,1,,,,,,,
436GA,"ANACONDA, MT",597,2,,,,,,,
436GB,"GREAT FALLS, MT",594,2,,,,,,,
436GC,"MISSOULA, MT",598,2,,,,,,,
436GD,"BOZEMAN VA CLINIC, MT",597,2,,,,,,,
436GF,"KALISPELL VA CLINIC, MT",599,2,,,,,,,
436GH,"BILLINGS VA CLINIC, MT",591,2,,,,,,,
436GI,"GLASGOW VA CLINIC, MT",592,2,,,,,,,
436GJ,"MILES CITY VA CLINIC, MT",593,2,,,,,,,
436GK,"GLENDIVE VA CLINIC, MT",593,3,,,,,,,
436GL,"CUT BANK VA CLINIC, MT",594,2,,,,,,,
436GM,"LEWISTOWN VA CLINIC, MT",594,2,,,,,,,
436HC,"MERRIL LUNDMAN VA OPC, MT",595,2,,,,,,,
436MA,"GREAT FALLS, MT (DES)",594,2,,,,,,,
436QA,"HAMILTON VA CLINIC, MT",598,3,,,,,,,
436QB,"PLENTYWOOD VA CLINIC, MT",592,3,,,,,,,
436QC,"HELENA VA CLINIC, MT",596,2,,,,,,,
437,"FARGO VA MEDICAL CENTER, ND",581,1,,,,,,,
