Version 3.23 - Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
001,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,S,"$4,335.55 ","$28,732.88 ","$7,991.48 ","$28,732.88 ",20180101
002,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,S,"$3,954.37 ","$31,684.99 ","$7,111.23 ","$31,684.99 ",20180101
003,DRG,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",S,"$4,574.34 ","$17,892.02 ","$7,957.38 ","$17,892.02 ",20180101
004,DRG,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",S,"$4,226.48 ","$11,552.58 ","$6,973.83 ","$11,552.58 ",20180101
005,DRG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,S,"$3,971.10 ","$28,311.42 ","$8,524.12 ","$28,311.42 ",20180101
006,DRG,LIVER TRANSPLANT W/O MCC,S,"$3,223.86 ","$34,513.19 ","$6,262.38 ","$34,513.19 ",20180101
007,DRG,LUNG TRANSPLANT,S,"$4,160.70 ","$32,381.93 ","$7,244.96 ","$32,381.93 ",20180101
008,DRG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,S,"$3,685.70 ","$46,344.87 ","$7,429.21 ","$46,344.87 ",20180101
010,DRG,PANCREAS TRANSPLANT,S,"$4,306.71 ","$35,406.34 ","$7,290.99 ","$35,406.34 ",20180101
011,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",S,"$3,795.98 ","$12,349.57 ","$6,855.70 ","$12,349.57 ",20180101
012,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",S,"$3,806.15 ","$13,976.76 ","$6,709.58 ","$13,976.76 ",20180101
013,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",S,"$3,298.45 ","$13,030.69 ","$6,056.76 ","$13,030.69 ",20180101
014,DRG,ALLOGENEIC BONE MARROW TRANSPLANT,S,"$5,863.36 ","$15,825.79 ","$7,289.76 ","$15,825.79 ",20180101
016,DRG,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,S,"$4,897.87 ","$9,933.35 ","$6,020.75 ","$9,933.35 ",20180101
017,DRG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,S,"$4,180.68 ","$9,287.64 ","$5,926.47 ","$9,287.64 ",20180101
020,DRG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,S,"$4,057.44 ","$20,883.86 ","$8,370.27 ","$20,883.86 ",20180101
021,DRG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,S,"$4,396.52 ","$17,739.40 ","$8,198.56 ","$17,739.40 ",20180101
022,DRG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,S,"$4,432.44 ","$23,050.29 ","$7,661.39 ","$23,050.29 ",20180101
023,DRG,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,S,"$3,685.03 ","$17,334.81 ","$7,656.41 ","$17,334.81 ",20180101
024,DRG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,S,"$4,203.13 ","$27,827.92 ","$8,309.81 ","$27,827.92 ",20180101
025,DRG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,S,"$3,751.30 ","$16,710.41 ","$7,641.04 ","$16,710.41 ",20180101
026,DRG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,S,"$3,965.00 ","$20,656.74 ","$7,929.56 ","$20,656.74 ",20180101
027,DRG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,S,"$3,607.65 ","$33,188.36 ","$7,430.19 ","$33,188.36 ",20180101
028,DRG,SPINAL PROCEDURES W MCC,S,"$3,411.69 ","$15,955.14 ","$6,938.89 ","$15,955.14 ",20180101
029,DRG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,S,"$3,302.45 ","$19,193.82 ","$6,730.43 ","$19,193.82 ",20180101
030,DRG,SPINAL PROCEDURES W/O CC/MCC,S,"$3,348.13 ","$24,157.25 ","$6,951.10 ","$24,157.25 ",20180101
031,DRG,VENTRICULAR SHUNT PROCEDURES W MCC,S,"$3,526.31 ","$11,484.95 ","$6,514.91 ","$11,484.95 ",20180101
032,DRG,VENTRICULAR SHUNT PROCEDURES W CC,S,"$3,731.08 ","$17,351.88 ","$6,965.40 ","$17,351.88 ",20180101
033,DRG,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,S,"$3,247.62 ","$26,538.26 ","$6,274.60 ","$26,538.26 ",20180101
034,DRG,CAROTID ARTERY STENT PROCEDURE W MCC,S,"$3,426.15 ","$19,232.78 ","$6,606.99 ","$19,232.78 ",20180101
035,DRG,CAROTID ARTERY STENT PROCEDURE W CC,S,"$3,210.28 ","$27,714.17 ","$6,190.43 ","$27,714.17 ",20180101
036,DRG,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,S,"$3,032.36 ","$44,895.21 ","$5,694.50 ","$44,895.21 ",20180101
037,DRG,EXTRACRANIAL PROCEDURES W MCC,S,"$2,935.99 ","$14,221.72 ","$5,472.32 ","$14,221.72 ",20180101
038,DRG,EXTRACRANIAL PROCEDURES W CC,S,"$3,071.80 ","$19,936.10 ","$5,468.23 ","$19,936.10 ",20180101
039,DRG,EXTRACRANIAL PROCEDURES W/O CC/MCC,S,"$2,894.10 ","$30,411.97 ","$5,416.61 ","$30,411.97 ",20180101
040,DRG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,S,"$3,377.29 ","$10,827.67 ","$6,259.65 ","$10,827.67 ",20180101
041,DRG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,S,"$3,677.10 ","$14,178.37 ","$6,729.74 ","$14,178.37 ",20180101
042,DRG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,S,"$4,015.38 ","$26,157.41 ","$6,846.95 ","$26,157.41 ",20180101
052,DRG,SPINAL DISORDERS & INJURIES W CC/MCC,N,"$2,338.82 ","$4,003.02 ","$6,140.55 ","$4,003.02 ",20180101
053,DRG,SPINAL DISORDERS & INJURIES W/O CC/MCC,N,"$1,925.95 ","$4,011.54 ","$4,379.81 ","$4,011.54 ",20180101
054,DRG,NERVOUS SYSTEM NEOPLASMS W MCC,N,"$3,223.18 ","$7,182.38 ","$5,788.13 ","$7,182.38 ",20180101
055,DRG,NERVOUS SYSTEM NEOPLASMS W/O MCC,N,"$2,907.49 ","$6,586.58 ","$5,332.43 ","$6,586.58 ",20180101
056,DRG,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,N,"$2,719.16 ","$4,047.59 ","$5,756.95 ","$4,047.59 ",20180101
057,DRG,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,N,"$2,929.38 ","$2,652.80 ","$6,002.58 ","$2,652.80 ",20180101
058,DRG,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,N,"$2,958.72 ","$6,205.59 ","$5,558.82 ","$6,205.59 ",20180101
059,DRG,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,N,"$2,994.70 ","$5,949.04 ","$5,024.88 ","$5,949.04 ",20180101
060,DRG,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,N,"$2,807.23 ","$5,790.24 ","$4,723.99 ","$5,790.24 ",20180101
061,DRG,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC",N,"$3,537.06 ","$14,341.68 ","$6,802.41 ","$14,341.68 ",20180101
062,DRG,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC",N,"$3,903.70 ","$18,645.03 ","$7,479.59 ","$18,645.03 ",20180101
063,DRG,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC",N,"$3,995.09 ","$23,556.50 ","$7,520.44 ","$23,556.50 ",20180101
064,DRG,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,N,"$3,250.38 ","$8,490.07 ","$6,353.20 ","$8,490.07 ",20180101
065,DRG,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,N,"$3,035.48 ","$8,275.70 ","$5,610.78 ","$8,275.70 ",20180101
066,DRG,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,N,"$2,652.46 ","$9,054.25 ","$4,821.80 ","$9,054.25 ",20180101
067,DRG,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,N,"$2,851.62 ","$9,024.14 ","$5,180.56 ","$9,024.14 ",20180101
068,DRG,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,N,"$2,538.86 ","$9,593.23 ","$4,427.14 ","$9,593.23 ",20180101
069,DRG,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,N,"$3,000.64 ","$11,100.90 ","$5,048.06 ","$11,100.90 ",20180101
070,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,N,"$2,812.28 ","$6,724.00 ","$5,402.60 ","$6,724.00 ",20180101
071,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,N,"$2,495.54 ","$5,186.73 ","$4,657.13 ","$5,186.73 ",20180101
072,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,N,"$2,875.22 ","$7,660.45 ","$5,360.22 ","$7,660.45 ",20180101
073,DRG,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,N,"$2,927.34 ","$6,757.24 ","$5,235.07 ","$6,757.24 ",20180101
074,DRG,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,N,"$2,786.42 ","$6,455.36 ","$5,238.22 ","$6,455.36 ",20180101
075,DRG,VIRAL MENINGITIS W CC/MCC,N,"$2,908.04 ","$7,340.52 ","$4,775.80 ","$7,340.52 ",20180101
076,DRG,VIRAL MENINGITIS W/O CC/MCC,N,"$2,738.13 ","$7,033.07 ","$4,512.55 ","$7,033.07 ",20180101
077,DRG,HYPERTENSIVE ENCEPHALOPATHY W MCC,N,"$2,982.74 ","$7,978.81 ","$5,641.04 ","$7,978.81 ",20180101
078,DRG,HYPERTENSIVE ENCEPHALOPATHY W CC,N,"$3,330.88 ","$8,528.93 ","$6,019.27 ","$8,528.93 ",20180101
079,DRG,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,N,"$2,796.70 ","$8,314.56 ","$4,857.01 ","$8,314.56 ",20180101
080,DRG,NONTRAUMATIC STUPOR & COMA W MCC,N,"$3,114.26 ","$7,179.63 ","$6,172.48 ","$7,179.63 ",20180101
081,DRG,NONTRAUMATIC STUPOR & COMA W/O MCC,N,"$3,081.98 ","$6,294.36 ","$5,735.28 ","$6,294.36 ",20180101
082,DRG,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",N,"$3,094.80 ","$9,245.12 ","$6,893.74 ","$9,245.12 ",20180101
083,DRG,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",N,"$3,380.23 ","$8,199.46 ","$6,959.09 ","$8,199.46 ",20180101
084,DRG,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",N,"$3,348.41 ","$9,974.71 ","$7,291.21 ","$9,974.71 ",20180101
085,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",N,"$3,450.11 ","$8,275.29 ","$7,089.87 ","$8,275.29 ",20180101
086,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",N,"$3,204.30 ","$7,151.19 ","$6,456.22 ","$7,151.19 ",20180101
087,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",N,"$2,761.90 ","$7,315.84 ","$5,781.44 ","$7,315.84 ",20180101
088,DRG,CONCUSSION W MCC,N,"$3,486.46 ","$10,926.85 ","$7,554.98 ","$10,926.85 ",20180101
089,DRG,CONCUSSION W CC,N,"$3,795.14 ","$11,336.65 ","$7,351.72 ","$11,336.65 ",20180101
090,DRG,CONCUSSION W/O CC/MCC,N,"$3,853.26 ","$13,412.04 ","$6,903.50 ","$13,412.04 ",20180101
091,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,N,"$2,743.44 ","$6,359.03 ","$5,830.84 ","$6,359.03 ",20180101
092,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W CC,N,"$2,919.47 ","$5,969.67 ","$5,466.67 ","$5,969.67 ",20180101
093,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,N,"$2,812.94 ","$6,976.36 ","$5,222.97 ","$6,976.36 ",20180101
094,DRG,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,N,"$3,036.55 ","$8,022.51 ","$5,965.17 ","$8,022.51 ",20180101
095,DRG,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,N,"$3,155.46 ","$9,327.47 ","$5,733.74 ","$9,327.47 ",20180101
096,DRG,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,N,"$2,411.83 ","$10,649.42 ","$4,606.04 ","$10,649.42 ",20180101
097,DRG,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,N,"$3,278.15 ","$9,078.23 ","$5,962.18 ","$9,078.23 ",20180101
098,DRG,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,N,"$3,395.69 ","$7,804.93 ","$5,872.75 ","$7,804.93 ",20180101
