Version 3.23 Update - Outpatient Facility,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,Service Category Code,Multiple Surgery Indicator,Primary/Pass-Through Indicator,Unit Charge,Base Charge,Unit Type,Inpatient Indicator,Skilled Nursing Facility Indicator,Start Date,End Date
10021,CPT,FINE NEEDLE ASPIRATION W/O IMAGING GUIDANCE,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
10022,CPT,FINE NEEDLE ASPIRATION WITH IMAGING GUIDANCE,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
10030,CPT,IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
10035,CPT,PERQ SFT TISS LOC DEVICE PLMT 1ST LES W/GDNCE,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
10036,CPT,PERQ SFT TISS LOC DEVICE PLMT ADD LES W/GDNCE,,30,,,"$2,189.92",$0.00,1,0,1,20180101,
10040,CPT,ACNE SURGERY,,30,,,$622.76,$0.00,1,0,1,20180101,
10060,CPT,INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE,,30,,,$622.76,$0.00,1,0,1,20180101,
10061,CPT,INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
10080,CPT,INCISION & DRAINAGE PILONIDAL CYST SIMPLE,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
10081,CPT,INCISION & DRAINAGE PILONIDAL CYST COMPLICATED,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
10120,CPT,INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
10121,CPT,INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
10140,CPT,I&D HEMATOMA SEROMA/FLUID COLLECTION,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
10160,CPT,PUNCTURE ASPIRATION ABSCESS HEMATOMA BULLA/CYST,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
10180,CPT,INCISION & DRAINAGE COMPLEX PO WOUND INFECTION,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11000,CPT,DBRDMT EXTENSV ECZEMA/INFECT SKN UP 10% BDY SURF,,30,,,"$2,599.88",$0.00,1,0,1,20180101,
11001,CPT,DBRDMT EXTNSVE ECZEMA/INFECT SKN EA 10% BDY SURF,,30,,,$301.08,$0.00,1,0,1,20180101,
11010,CPT,DBRDMT W/RMVL FM FX&/DISLC SKIN&SUBQ TISSUS,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11011,CPT,DBRDMT W/RMVL FM FX&/DISLC SKN SUBQ T/M/F MUSC,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11012,CPT,DBRDMT FX&/DISLC SUBQ T/M/F BONE,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11042,CPT,DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
11043,CPT,DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<,,30,,,"$2,599.88",$0.00,1,0,1,20180101,
11044,CPT,DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11045,CPT,DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM,,30,,,"$1,046.43",$0.00,1,0,1,20180101,
11046,CPT,DEBRIDEMENT MUSCLE &/FASCIA EA ADDL 20 SQ CM,,30,,,"$1,160.08",$0.00,1,0,1,20180101,
11047,CPT,DEBRIDEMENT BONE EACH ADDITIONAL 20 SQ CM,,30,,,"$2,395.21",$0.00,1,0,1,20180101,
11055,CPT,PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1,,30,,,$622.76,$0.00,1,0,1,20180101,
11056,CPT,PARING/CUTTING BENIGN HYPERKERATOTIC LESION 2-4,,30,,,$622.76,$0.00,1,0,1,20180101,
11057,CPT,PARING/CUTTING BENIGN HYPERKERATOTIC LESION >4,,30,,,$622.76,$0.00,1,0,1,20180101,
11100,CPT,BX SKIN SUBCUTANEOUS&/MUCOUS MEMBRANE 1 LESION,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
11101,CPT,BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESN,,30,,,$279.65,$0.00,1,0,1,20180101,
11200,CPT,REMOVAL SKN TAGS MLT FIBRQ TAGS ANY AREA UPW/15,,30,,,$622.76,$0.00,1,0,1,20180101,
11201,CPT,REMOVAL SK TGS MLT FIBRQ TAGS ANY AREA EA 10,,30,,,$143.08,$0.00,1,0,1,20180101,
11300,CPT,SHAVING SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.5CM/<,,30,,,$622.76,$0.00,1,0,1,20180101,
11301,CPT,SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.6-1.0 CM,,30,,,$622.76,$0.00,1,0,1,20180101,
11302,CPT,SHVG SKN LESION 1 TRUNK/ARM/LEG DIAM 1.1-2.0 CM,,30,,,$622.76,$0.00,1,0,1,20180101,
11303,CPT,SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM >2.0 CM,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
11305,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.5 CM/<,,30,,,$622.76,$0.00,1,0,1,20180101,
11306,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.6-1.0 CM,,30,,,$622.76,$0.00,1,0,1,20180101,
11307,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 1.1-2.0 CM,,30,,,$622.76,$0.00,1,0,1,20180101,
11308,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM >2.0 CM,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
11310,CPT,SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM 0.5 CM/<,,30,,,$622.76,$0.00,1,0,1,20180101,
11311,CPT,SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 0.6-1.0 CM,,30,,,$622.76,$0.00,1,0,1,20180101,
11312,CPT,SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 1.1-2.0 CM,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
11313,CPT,SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM >2.0 CM,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
11400,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 0.5 CM/<,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11401,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 0.6-1.0 CM,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
11402,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 1.1-2.0 CM,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11403,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 2.1-3.0 CM/<,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11404,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L 3.1-4.0 CM,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11406,CPT,EXC B9 LESION MRGN XCP SK TG T/A/L >4.0 CM,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11420,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.5 CM/<,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11421,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11422,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 1.1-2.0CM,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11423,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 2.1-3.0CM,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11424,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 3.1-4.0CM,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11426,CPT,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G > 4.0CM,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11440,CPT,EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M 0.5CM/<,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11441,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.6-1.0CM,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11442,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 1.1-2.0CM,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11443,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 2.1-3.0CM,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11444,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 3.1-4.0CM,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11446,CPT,EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M > 4.0CM,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11450,CPT,EXCISION HIDRADENITIS AXILLARY SMPL/INTRM RPR,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11451,CPT,EXCISION HIDRADENITIS AXILLARY COMPLEX REPAIR,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11462,CPT,EXCISION HIDRADENITIS INGUINAL SMPL/INTRM RPR,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11463,CPT,EXCISION HIDRADENITIS INGUINAL COMPLEX REPAIR,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11470,CPT,EXCISION H/P/P/U SIMPLE/INTERMEDIATE REPAIR,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11471,CPT,EXCISION H/P/P/U COMPLEX REPAIR,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11600,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 0.5 CM/<,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11601,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11602,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 1.1-2.0 CM,,30,,,"$1,719.36",$0.00,1,0,1,20180101,
11603,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 2.1-3.0 CM/<,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11604,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 3.1-4.0 CM,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11606,CPT,EXCISION MALIGNANT LESION TRUNK/ARM/LEG > 4.0 CM,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11620,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 0.5 CM/<,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11621,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 0.6-1.0 CM,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11622,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 1.1-2.0 CM,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11623,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 2.1-3.0 CM/<,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11624,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 3.1-4.0 CM,,30,,,"$7,533.81",$0.00,1,0,1,20180101,
11626,CPT,EXCISION MALIGNANT LESION S/N/H/F/G >4.0 CM,,30,,,"$11,942.67",$0.00,1,0,1,20180101,
11640,CPT,EXCISION MALIGNANT LESION F/E/E/N/L 0.5 CM/<,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
11641,CPT,EXCISION MALIGNANT LESION F/E/E/N/L 0.6-1.0 CM,,30,,,"$3,458.81",$0.00,1,0,1,20180101,
