ID,INSTALLED,VERIFY_DT,STATUS,SEQ#,LABELED_AS,CATEGORY,PRODUCT_NAME,"PREREQUISITES OR SPECIAL NOTES
ALL DOCUMENTATION IS AVAILABLE THRU THE VDL AND IS NO LONGER ON THE FOIA SITE",REDACTED INFO IN FOIA RELEASE
1,TRUE,2012-01-03,VERIFIED,104,XT*7.3*126,Routine,KERNEL TOOLKIT,xt_73_p126_um.pdf,
2,TRUE,2012-01-06,VERIFIED,325,LR*5.2*405,Enhancement,LABORATORY,LR_5_2_405.DOC.ZIP,
3,TRUE,2012-01-09,VERIFIED,295,PSN*4*309,Routine,NATIONAL DRUG FILE,NDF4P309.KID,
4,TRUE,2012-01-09,VERIFIED,16,ROR*1.5*15,Routine,CLINICAL CASE REGISTRIES,"ROR1_5P15DOC1.ZIP
ROR1_5P15DOC2.ZIP
ROR1_5P15GUI.ZIP",
5,TRUE,2012-01-10,VERIFIED,427,IB*2*467,Routine,INTERGRATED BILLING,IB_2_0_P467_UM_R1211.PDF,
6,TRUE,2012-01-11,VERIFIED,72,LEX*2*79,Data Dictionary,LEXICON UTILITY,LEX_2_79.GBL,
7,TRUE,2012-01-11,VERIFIED,56,ICPT*6*58,Informational,CPT/HCPCS CODES,Comes in with LEX*2*79,
8,TRUE,2012-01-11,VERIFIED,25,FH*5.5*24,Routine,NUTRITION & FOOD SERVICES,,
9,TRUE,2012-01-12,VERIFIED,428,IB*2*455,Routine,INTERGRATED BILLING,,
10,TRUE,2012-01-12,VERIFIED,429,IB*2*451,Enhancement,INTERGRATED BILLING,"EPAYMENTS_USER_GUIDE_EDI_LOCKBOX_R0112.PDF
IB_2_0_P451_RN.PDF
IB_2_0_TM_R0112.PDF",
11,TRUE,2012-01-12,VERIFIED,250,PRCA*4.5*276,Routine,ACCOUNTS RECEIVABLE,"EPAYMENTS_USER_GUIDE_EDI_LOCKBOX_R0112.PDF
PRCA_4_5_P276_RN.PDF
AR_4_5_TM_R0112.PDF",
12,TRUE,2012-01-12,VERIFIED,477,SD*5.3*571,Routine,SCHEDULING,,
13,FALSE,2012-01-12,VERIFIED,38,VBEC*1*39,Informational,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS,
14,TRUE,2012-01-12,VERIFIED,300,OR*3*347,Routine,ORDER ENTRY/RESULTS REPORTING,ALSO CPRS FOLDER,
15,TRUE,2012-01-12,VERIFIED,99,RA*5*107,Routine,RADIOLOGY/NUCLEAR MEDICINE,"RA5_0HL7spec.doc/pdf
RA5_0RN_p107.doc/pdf",
16,TRUE,2012-01-17,VERIFIED,478,SD*5.3*572,Routine,SCHEDULING,
17,TRUE,2012-01-23,VERIFIED,296,PSN*4*310,Routine,NATIONAL DRUG FILE,NDF4P310.KID
18,TRUE,2012-01-23,VERIFIED,297,PSN*4*311,Routine,NATIONAL DRUG FILE,NDF4P311.KID
19,TRUE,2012-01-23,VERIFIED,157,DVBA*2.7*177,Informational,AUTOMATED MED INFO EXCHANGE,"DVBA_27_P177_05.ZIP
DVBA_27_P177_RN.PDF"
20,TRUE,2012-01-24,VERIFIED,136,PRC*5.1*138,Routine,IFCAP,
21,TRUE,2012-01-25,VERIFIED,479,SD*5.3*584,Data Dictionary,SCHEDULING,
22,TRUE,2012-01-26,VERIFIED,430,IB*2*466,Routine,INTERGRATED BILLING,
