7.0,INSTALLED,VERIFY_DT,STATUS,LABELED_AS,SEQ#,CATEGORY,PRODUCT_NAME,"PREREQUISITES OR SPECIAL NOTES
small s denotes Redacted",REDACTED INFO IN FOIA RELEASE,GUI OR EXE FILES
1,TRUE,2014-01-03,VERIFIED,TIU*1*271,255,ROUTINE,TEXT INTEGRATION UTILITY,,,NO
2,TRUE,2014-01-03,VERIFIED,WEBV*1*30,25,INFORMATION,VISTAWEB,,,NO
3,TRUE,2014-01-06,VERIFIED,DG*5.3*853,772,DATA,REGISTRATION,DG5_3P853.KID,,NO
4,TRUE,2014-01-06,VERIFIED,PRS*4*138,128,ROUTINE,PAID,,,NO
5,TRUE,2014-01-07,VERIFIED,PRC*5.1*174,154,DATA,IFCAP,,,NO
6,TRUE,2014-01-08,VERIFIED,PSN*4*384,370,ROUTINE,NATIONAL DRUG FILE,NDF4P384.KIDs,YES,NO
7,TRUE,2014-01-08,VERIFIED,VAQ*1.5*44,41,ROUTINE,PATIENT DATA EXCHANGE,,,NO
8,TRUE,2014-01-09,VERIFIED,LA*5.2*81,60,ROUTINE,LAB INSTRUMENTS,,,NO
9,TRUE,2014-01-13,VERIFIED,LR*5.2*436,342,DATA,LABORATORY,,YES,NO
10,TRUE,2014-01-13,VERIFIED,IB*2*479,466,ROUTINE,INTEGRATED BILLING,,YES,NO
11,FALSE,2014-01-13,VERIFIED,DSIF*3.2*42,24,ENHANCEMENT,FEE BASIS CLAIM SYSTEM,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,NA
12,TRUE,2014-01-14,VERIFIED,PSB*3*75,63,ROUTINE,BAR CODE ADMINISTRATION,,YES,NO
13,TRUE,2014-01-14,VERIFIED,LEX*2*94,83,ROUTINE,CLINICAL LEXICON,LEX_2_94.GBLs,YES,YES
14,TRUE,2014-01-14,VERIFIED,ICPT*6*66,64,INFORMATION,CPT CODES,LEX_2_94.GBLs,YES,YES
15,TRUE,2014-01-14,VERIFIED,IB*2*510,467,ROUTINE,INTEGRATED BILLING,,YES,NO
16,TRUE,2014-01-15,VERIFIED,XU*8*550,503,ROUTINE,VA KERNEL,XU_8_550_V1.KIDs,YES,NO
17,TRUE,2014-01-15,VERIFIED,KMPR*2*2,3,ROUTINE,RESOURCE USAGE MONITOR,XU_8_550_V1.KIDs,YES,NO
18,TRUE,2014-01-15,VERIFIED,TIU*1*279,256,ROUTINE,TEXT INTEGRATION UTILITY,TIU_1_P279.KID -- EXTRACTED FROM ZIP FILE,,NO
19,TRUE,2014-01-15,VERIFIED,DG*5.3*869,773,ENHANCEMENT,REGISTRATION,DG_53_P869.KID -- EXTRACTED FROM ZIP FILE,,NO
